5.5999587286e+01,-9.5426393076e+00,-1.0151632179e+01,-5.4238696291e+01;
1.0429535098e+02,0.0000000000e+00,0.0000000000e+00,1.0429535095e+02;
9.0177369360e+02,-0.0000000000e+00,-0.0000000000e+00,-9.0177369360e+02;
9.5733730249e+01,4.6443323643e+01,9.4823515968e+00,8.3174814687e+01;
6.9462419600e+02,-1.7151102434e+01,-9.9304413639e+01,-6.8727523364e+02;
2.1571111833e+02,-2.9292221208e+01,8.9822062042e+01,-1.9337792370e+02;
7.2891788107e+01,-3.9511708382e+00,3.3668817317e+01,-6.4529154364e+01;
1.4281933023e+02,-2.5341050370e+01,5.6153244725e+01,-1.2884876934e+02;
1.7714807968e+02,-0.0000000000e+00,0.0000000000e+00,1.7714805089e+02;
5.0088488987e+01,0.0000000000e+00,-0.0000000000e+00,-5.0088488922e+01;
4.7830286572e+01,9.4166870244e+00,-2.4595079314e+01,3.9926737735e+01;
1.2134768882e+02,4.2140264408e+01,2.6463582933e+01,1.1067577999e+02;
5.8058593269e+01,-5.1556951433e+01,-1.8685036191e+00,-2.3542955759e+01;
4.8713221211e+01,-4.2348664640e+01,-3.4377257702e+00,-2.3827516981e+01;
9.3453720576e+00,-9.2082867922e+00,1.5692221510e+00,2.8456122218e-01;
4.0501390417e+00,-0.0000000000e+00,0.0000000000e+00,3.8458713261e+00;
1.9519535473e+03,0.0000000000e+00,-0.0000000000e+00,-1.9519535473e+03;
1.4556043588e+03,-3.7605911442e+01,-6.4652133643e+01,-1.4536815148e+03;
1.0367397233e+02,6.9365923877e+00,1.9399900793e+01,-1.0159826364e+02;
3.9672535519e+02,3.0669319054e+01,4.5252232850e+01,-3.9282789754e+02;
2.8323200643e+02,2.3020884023e+01,2.8220130530e+01,-2.8088081564e+02;
1.1349334876e+02,7.6484350318e+00,1.7032102319e+01,-1.1194708190e+02;
1.3664151064e+01,-0.0000000000e+00,0.0000000000e+00,1.3664150826e+01;
2.0566433919e+03,0.0000000000e+00,-0.0000000000e+00,-2.0566433919e+03;
1.3974626546e+03,-2.7607458030e+01,-9.2188151373e+00,-1.3971595158e+03;
4.8562737273e+02,8.5368492455e+01,5.7853651543e+01,-4.7455149419e+02;
1.8721751561e+02,-5.7761034425e+01,-4.8634836406e+01,-1.7126823102e+02;
7.7035312470e+01,-2.5282730674e+01,-2.0974746255e+01,-6.9679860193e+01;
1.1018220314e+02,-3.2478303751e+01,-2.7660090151e+01,-1.0158837082e+02;
1.1583036518e+03,0.0000000000e+00,0.0000000000e+00,1.1583036518e+03;
2.0437003800e+00,-0.0000000000e+00,-0.0000000000e+00,-2.0412031362e+00;
4.2255372710e+02,-2.9185595661e+01,3.8098971949e+00,4.2152738697e+02;
7.6445237802e+01,1.7000133910e+01,-1.1358357574e+01,7.3660351220e+01;
6.6134838724e+02,1.2185461752e+01,7.5484603787e+00,6.6107471043e+02;
6.4384206056e+01,-2.3921084319e+00,1.7052686907e+00,6.4317150632e+01;
5.9696418119e+02,1.4577570184e+01,5.8431916880e+00,5.9675755980e+02;
3.3441474126e+02,0.0000000000e+00,0.0000000000e+00,3.3441474126e+02;
1.1774512507e+03,-0.0000000000e+00,-0.0000000000e+00,-1.1774512507e+03;
